Puzzle,,Before,Time to Solve (s),,,,After,Time to Solve (s),,Iteration Delta,Time Delta
103,Solved,2,0.0062598,,103,Solved,0,0.0048368,,-2,-0.001423
136,Solved,4,0.0088958,,136,Solved,6,0.016871,,2,0.0079752
85,Solved,5,0.0124815,,85,Solved,2,0.0065203,,-3,-0.0059612
174,Solved,7,0.0124004,,174,Solved,2,0.0070513,,-5,-0.0053491
45,Solved,8,0.0266726,,45,Solved,1274,1.501781,,1266,1.4751084
53,Solved,8,0.016428,,53,Solved,4,0.0110946,,-4,-0.0053334
93,Solved,8,0.0183165,,93,Solved,3,0.0089361,,-5,-0.0093804
168,Solved,9,0.0150639,,168,Solved,5,0.0124572,,-4,-0.0026067
29,Solved,10,0.0239587,,29,Solved,6,0.0168591,,-4,-0.0070996
56,Solved,10,0.0141283,,56,Solved,0,0.0038194,,-10,-0.0103089
134,Solved,10,0.0213335,,134,Solved,7,0.0205438,,-3,-0.0007897
161,Solved,10,0.0196765,,161,Solved,184,0.3861921,,174,0.3665156
123,Solved,11,0.0204477,,123,Solved,4,0.0110941,,-7,-0.0093536
156,Solved,11,0.0253141,,156,Solved,7,0.0173532,,-4,-0.0079609
173,Solved,11,0.0153564,,173,Solved,3,0.0084096,,-8,-0.0069468
184,Solved,11,0.018999,,184,Solved,2,0.0058367,,-9,-0.0131623
81,Solved,12,0.0247946,,81,Solved,326,0.4151838,,314,0.3903892
154,Solved,12,0.0237727,,154,Solved,4,0.01098,,-8,-0.0127927
78,Solved,14,0.0287482,,78,Solved,1714,1.9772873,,1700,1.9485391
163,Solved,14,0.0243891,,163,Solved,7,0.015301,,-7,-0.0090881
21,Solved,15,0.037645,,21,Solved,1159,1.3498265,,1144,1.3121815
24,Solved,15,0.0251794,,24,Solved,4,0.0109505,,-11,-0.0142289
50,Solved,19,0.0381008,,50,Solved,8,0.0196994,,-11,-0.0184014
6,Solved,21,0.0395083,,6,Solved,229,0.2792043,,208,0.239696
18,Solved,21,0.0979144,,18,Solved,13,0.0306731,,-8,-0.0672413
109,Solved,22,0.09521,,109,Solved,8,0.0199226,,-14,-0.0752874
36,Solved,114,0.1366104,,36,Solved,54,0.0660795,,-60,-0.0705309
159,Solved,126,0.1484561,,159,Solved,3,0.0075611,,-123,-0.140895
135,Solved,140,0.1664306,,135,Solved,4496,4.8938619,,4356,4.7274313
61,Solved,173,0.2637034,,61,Solved,2140,2.7549202,,1967,2.4912168
55,Solved,175,0.2036401,,55,Solved,2871,3.5704494,,2696,3.3668093
128,Solved,178,0.2193761,,128,Solved,301,0.6041629,,123,0.3847868
125,Solved,188,0.2260761,,125,Solved,93,0.203613,,-95,-0.0224631
96,Solved,205,0.2011208,,,,,,,,
4,Solved,212,0.2699532,,,,,,,,
86,Solved,219,0.2933046,,,,,,,,
52,Solved,225,0.2405646,,,,,,,,
144,Solved,302,0.3304541,,,,,,,,
51,Solved,318,0.3658242,,,,,,,,
90,Solved,325,0.3615076,,,,,,,,
25,Solved,374,0.3940916,,,,,,,,
151,Solved,386,0.4273928,,,,,,,,
68,Solved,411,0.4559607,,,,,,,,
76,Solved,488,1.0013555,,,,,,,,
116,Solved,501,0.4941442,,,,,,,,
92,Solved,519,0.5967627,,,,,,,,
5,Solved,525,0.6843756,,,,,,,,
153,Solved,568,0.6839506,,,,,,,,
167,Solved,578,0.6184632,,,,,,,,
102,Solved,590,0.7059487,,,,,,,,
38,Solved,634,0.6614848,,,,,,,,
169,Solved,672,0.6825949,,,,,,,,
99,Solved,690,0.7562317,,,,,,,,
95,Solved,715,0.8716364,,,,,,,,
148,Solved,743,0.9727195,,,,,,,,
27,Solved,780,0.8227206,,,,,,,,
171,Solved,820,0.8953856,,,,,,,,
88,Solved,864,0.8543489,,,,,,,,
44,Solved,866,1.6885696,,,,,,,,
13,Solved,896,1.0153952,,,,,,,,
23,Solved,944,1.0799959,,,,,,,,
106,Solved,958,0.9289801,,,,,,,,
8,Solved,963,1.4349109,,,,,,,,
175,Solved,994,1.0863272,,,,,,,,
69,Solved,1001,1.1660278,,,,,,,,
132,Solved,1041,1.1197432,,,,,,,,
15,Solved,1052,1.20933,,,,,,,,
94,Solved,1119,1.2496714,,,,,,,,
133,Solved,1229,1.3146751,,,,,,,,
67,Solved,1250,1.4266844,,,,,,,,
104,Solved,1393,2.238314,,,,,,,,
121,Solved,1424,1.6019998,,,,,,,,
165,Solved,1469,1.6357624,,,,,,,,
127,Solved,1502,1.6211137,,,,,,,,
46,Solved,1514,2.0553146,,,,,,,,
162,Solved,1543,1.8191341,,,,,,,,
30,Solved,1628,1.8944332,,,,,,,,
117,Solved,1788,1.9852686,,,,,,,,
14,Solved,1867,2.1598318,,,,,,,,
32,Solved,2026,2.2570109,,,,,,,,
17,Solved,2057,2.2061487,,,,,,,,
74,Solved,2063,2.2738144,,,,,,,,
54,Solved,2206,2.4853234,,,,,,,,
62,Solved,2220,2.4131196,,,,,,,,
112,Solved,2243,2.4916386,,,,,,,,
37,Solved,2321,2.478624,,,,,,,,
158,Solved,2460,2.5089431,,,,,,,,
59,Solved,2472,2.6489139,,,,,,,,
91,Solved,2474,2.5908831,,,,,,,,
145,Solved,2478,2.597443,,,,,,,,
48,Solved,2699,3.0183718,,,,,,,,
124,Solved,2755,3.0813462,,,,,,,,
31,Solved,2825,2.7951911,,,,,,,,
118,Solved,2890,3.2345327,,,,,,,,
73,Solved,2920,3.1537924,,,,,,,,
166,Solved,3205,4.2504685,,,,,,,,
146,Solved,4080,4.4855222,,,,,,,,
130,Solved,4221,5.3145647,,,,,,,,
39,Solved,4562,5.2139973,,,,,,,,
60,Solved,4569,4.7817312,,,,,,,,
142,Solved,5873,7.3501046,,,,,,,,
33,Solved,6289,6.2863024,,,,,,,,
187,Solved,6524,7.4014166,,,,,,,,
139,Solved,6697,7.8809444,,,,,,,,
1,Solved,7366,8.5159982,,,,,,,,
63,Solved,8701,10.2584801,,,,,,,,
80,Solved,8954,9.1721356,,,,,,,,
141,Solved,9115,10.3023448,,,,,,,,
75,Solved,9153,9.9184542,,,,,,,,
12,Solved,9398,10.7726401,,,,,,,,
101,Solved,9452,10.7163089,,,,,,,,
22,Solved,10105,10.7610152,,,,,,,,
26,Solved,10247,12.252593,,,,,,,,
65,Solved,11093,13.7766017,,,,,,,,
181,Solved,11828,13.7720463,,,,,,,,
157,Solved,12243,13.1845503,,,,,,,,
105,Solved,14002,15.9967129,,,,,,,,
64,Solved,14836,16.1324844,,,,,,,,
79,Solved,16270,17.9389689,,,,,,,,
176,Solved,16345,18.1663613,,,,,,,,
97,Solved,17115,18.6424906,,,,,,,,
170,Solved,17668,20.0374286,,,,,,,,
87,Solved,20167,21.9722277,,,,,,,,
11,Solved,20964,25.1283872,,,,,,,,
180,Solved,22138,24.7816881,,,,,,,,
47,Solved,31107,38.9902019,,,,,,,,
178,Solved,31886,34.5142448,,,,,,,,
107,Solved,32468,39.1010223,,,,,,,,
138,Solved,32522,37.202227,,,,,,,,
9,Solved,32641,39.9737511,,,,,,,,
182,Solved,37156,42.2693805,,,,,,,,
164,Solved,39836,46.854411,,,,,,,,
72,Solved,40503,47.3477657,,,,,,,,
110,Solved,42698,49.3964551,,,,,,,,
57,Solved,45223,52.6356727,,,,,,,,
66,Solved,47408,56.0687932,,,,,,,,
114,Solved,53789,60.915505,,,,,,,,
179,Solved,56806,64.8842243,,,,,,,,
183,Solved,57786,67.355188,,,,,,,,
152,Solved,64322,73.652302,,,,,,,,
10,Solved,64338,72.0368676,,,,,,,,
108,Solved,64507,75.1261133,,,,,,,,
155,Solved,70223,86.5061688,,,,,,,,
160,Solved,79894,91.9292384,,,,,,,,
89,Solved,81442,93.2975861,,,,,,,,
140,Solved,83882,96.9549442,,,,,,,,
113,Solved,84556,95.5247584,,,,,,,,
82,Solved,86620,97.3966694,,,,,,,,
120,Solved,90644,106.3335078,,,,,,,,
43,Solved,93532,111.8921419,,,,,,,,
7,Solved,96590,113.0910959,,,,,,,,
185,Solved,97538,105.7717578,,,,,,,,
84,Solved,97676,116.2488007,,,,,,,,
150,Solved,101099,119.0179115,,,,,,,,
126,Solved,110474,124.2196633,,,,,,,,
40,Solved,115093,130.9744475,,,,,,,,
186,Solved,122065,141.4209627,,,,,,,,
111,Solved,126702,142.3222155,,,,,,,,
122,Solved,131781,148.6986495,,,,,,,,
147,Solved,142176,159.6500815,,,,,,,,
42,Solved,203543,240.0698959,,,,,,,,
188,Solved,210808,237.3352793,,,,,,,,
119,Solved,211006,245.3493652,,,,,,,,
3,Solved,212114,252.5103031,,,,,,,,
28,Solved,232126,266.0402265,,,,,,,,
34,Solved,239120,264.8126363,,,,,,,,
115,Solved,256952,290.0483198,,,,,,,,
77,Solved,263512,294.1026647,,,,,,,,
19,Solved,318158,355.3094137,,,,,,,,
83,Solved,372455,414.6472698,,,,,,,,
143,Solved,468227,526.5906073,,,,,,,,
35,Solved,486334,551.030956,,,,,,,,
172,Solved,547682,615.8933565,,,,,,,,
20,Solved,681945,783.2569054,,,,,,,,
100,Solved,716947,818.7723552,,,,,,,,
177,Solved,743930,844.1606328,,,,,,,,
58,Solved,784953,915.585613,,,,,,,,
71,Solved,789434,905.1714187,,,,,,,,
98,Solved,913249,1000.472762,,,,,,,,
131,Solved,1241045,1409.12979,,,,,,,,
137,Solved,1410646,1559.80559,,,,,,,,
129,Solved,1444644,1625.569069,,,,,,,,
149,Solved,2840458,3361.773064,,,,,,,,
16,Solved,2987652,3522.705443,,,,,,,,
49,Solved,3534127,4021.899619,,,,,,,,
70,Solved,14996443,17153.37878,,,,,,,,
41,Solved,19741015,23410.65379,,,,,,,,
